precision,recall,threshold
0.5018094089264173,1.0,-15.126432
0.5018346318170395,1.0,-15.12127
0.50185985724339,1.0,-15.119244
0.5018850852058513,1.0,-15.116655
0.5019103157048059,1.0,-15.08907
0.5019355487406365,1.0,-15.088695
0.5019607843137255,1.0,-15.088454
0.5019860224244558,1.0,-15.08649
0.50201126307321,1.0,-15.081361
0.5020365062603711,1.0,-15.079862
0.5020617519863221,1.0,-15.078005
0.5020870002514458,1.0,-15.063374
0.5021122510561256,1.0,-15.05491
0.5021375044007443,1.0,-15.05072
0.5021627602856855,1.0,-15.043588
0.5021880187113325,1.0,-15.038624
0.5022132796780684,1.0,-15.034981
0.502238543186277,1.0,-15.032589
0.5022638092363417,1.0,-15.031839
0.5022890778286462,1.0,-15.029779
0.5023143489635742,1.0,-15.024599
0.5023396226415094,1.0,-15.023902
0.5023648988628359,1.0,-15.0197935
0.5023901776279374,1.0,-15.019331
0.5024154589371981,1.0,-15.019225
0.5024407427910019,1.0,-15.014035
0.5024660291897333,1.0,-15.001361
0.5024913181337762,1.0,-14.993311
0.5025166096235152,1.0,-14.986636
0.5025419036593346,1.0,-14.977546
0.5025672002416188,1.0,-14.972661
0.5025924993707526,1.0,-14.957469
0.5026178010471204,1.0,-14.957101
0.5026431052711071,1.0,-14.951599
0.5026684120430974,1.0,-14.946594
0.5026937213634761,1.0,-14.94408
0.5027190332326285,1.0,-14.94035
0.5027443476509391,1.0,-14.937672
0.5027696646187935,1.0,-14.936923
0.5027949841365765,1.0,-14.933892
0.5028203062046737,1.0,-14.921761
0.5028456308234701,1.0,-14.907834
0.5028709579933515,1.0,-14.897208
0.5028962877147031,1.0,-14.896706
0.5029216199879105,1.0,-14.886754
0.5029469548133595,1.0,-14.881016
0.5029722921914358,1.0,-14.881007
0.502997632122525,1.0,-14.876899
0.5030229746070133,1.0,-14.8685
0.5030483196452864,1.0,-14.866281
0.5030736672377305,1.0,-14.863054
0.5030990173847316,1.0,-14.862564
0.5031243700866761,1.0,-14.862323
0.50314972534395,1.0,-14.86103
0.5031750831569398,1.0,-14.857111
0.503200443526032,1.0,-14.853927
0.5032258064516129,1.0,-14.852984
0.5032511719340692,1.0,-14.850477
0.5032765399737876,1.0,-14.849846
0.5033019105711549,1.0,-14.822094
0.5033272837265578,1.0,-14.820381
0.5033526594403832,1.0,-14.81937
0.503378037713018,1.0,-14.815132
0.5034034185448495,1.0,-14.811937
0.5034288019362646,1.0,-14.808404
0.5034541878876506,1.0,-14.806939
0.5034795763993949,1.0,-14.8052635
0.5035049674718847,1.0,-14.802104
0.5035303611055074,1.0,-14.7987385
0.5035557573006506,1.0,-14.798143
0.503581156057702,1.0,-14.796898
0.5036065573770492,1.0,-14.793056
0.5036319612590799,1.0,-14.792566
0.503657367704182,1.0,-14.791957
0.5036827767127434,1.0,-14.784646
0.5037081882851521,1.0,-14.778311
0.5037336024217962,1.0,-14.772721
0.5037590191230638,1.0,-14.760674
0.5037844383893431,1.0,-14.756778
0.5038098602210224,1.0,-14.753187
0.5038352846184901,1.0,-14.748764
0.5038607115821347,1.0,-14.744516
0.5038861411123448,1.0,-14.744005
0.5039115732095089,1.0,-14.737922
0.5039370078740157,1.0,-14.735174
0.5039624451062541,1.0,-14.734844
0.5039878849066128,1.0,-14.73295
0.5040133272754809,1.0,-14.729826
0.5040387722132472,1.0,-14.725842
0.5040642197203009,1.0,-14.720221
0.5040896697970312,1.0,-14.71579
0.5041151224438273,1.0,-14.7127695
0.5041405776610786,1.0,-14.708142
0.5041660354491744,1.0,-14.705726
0.5041914958085042,1.0,-14.701933
