fpr,tpr,threshold
0.0025040064102564105,0.9791666666666666,-5.888499
0.0025040064102564105,0.9801682692307693,-5.9597373
0.002704326923076923,0.9801682692307693,-5.9631877
0.002704326923076923,0.9806690705128205,-5.980505
0.0028044871794871795,0.9806690705128205,-5.987542
0.0028044871794871795,0.9811698717948718,-6.029115
0.002904647435897436,0.9811698717948718,-6.030714
0.002904647435897436,0.9819711538461539,-6.0596857
0.0030048076923076925,0.9819711538461539,-6.0610695
0.0030048076923076925,0.9821714743589743,-6.07035
0.0031049679487179485,0.9821714743589743,-6.0747886
0.0031049679487179485,0.9822716346153846,-6.075937
0.003205128205128205,0.9822716346153846,-6.0791283
0.003205128205128205,0.9823717948717948,-6.093995
0.0033052884615384615,0.9823717948717948,-6.101898
0.0033052884615384615,0.9833733974358975,-6.149669
0.003405448717948718,0.9833733974358975,-6.163473
0.003405448717948718,0.9834735576923077,-6.1664696
0.003705929487179487,0.9834735576923077,-6.1770997
0.003705929487179487,0.9842748397435898,-6.214511
0.0038060897435897435,0.9842748397435898,-6.2299047
0.0038060897435897435,0.9847756410256411,-6.255093
0.00390625,0.9847756410256411,-6.2623167
0.00390625,0.9854767628205128,-6.281587
0.004206730769230769,0.9854767628205128,-6.294778
0.004206730769230769,0.9857772435897436,-6.312878
0.004306891025641026,0.9857772435897436,-6.3141575
0.004306891025641026,0.9862780448717948,-6.3270044
0.004407051282051282,0.9862780448717948,-6.3366513
0.004407051282051282,0.9864783653846154,-6.3619995
0.004507211538461538,0.9864783653846154,-6.362349
0.004507211538461538,0.9868790064102564,-6.3925
0.004607371794871795,0.9868790064102564,-6.3928733
0.004607371794871795,0.9880809294871795,-6.4565883
0.004707532051282051,0.9880809294871795,-6.4625773
0.004707532051282051,0.9883814102564102,-6.4731827
0.004807692307692308,0.9883814102564102,-6.474443
0.004807692307692308,0.9885817307692307,-6.4975805
0.004907852564102564,0.9885817307692307,-6.4987617
0.004907852564102564,0.9886818910256411,-6.4996543
0.005008012820512821,0.9886818910256411,-6.5019617
0.005008012820512821,0.989082532051282,-6.5149307
0.005108173076923077,0.989082532051282,-6.515718
0.005108173076923077,0.9893830128205128,-6.528322
0.005208333333333333,0.9893830128205128,-6.549947
0.005208333333333333,0.9895833333333334,-6.5619025
0.005508814102564103,0.9895833333333334,-6.596902
0.005508814102564103,0.9899839743589743,-6.602589
0.005608974358974359,0.9899839743589743,-6.60643
0.005608974358974359,0.9900841346153846,-6.6159825
0.005709134615384615,0.9900841346153846,-6.622642
0.005709134615384615,0.9901842948717948,-6.6374793
0.006209935897435897,0.9901842948717948,-6.6745415
0.006209935897435897,0.9904847756410257,-6.68913
0.006310096153846154,0.9904847756410257,-6.6898613
0.006310096153846154,0.9905849358974359,-6.704044
0.007111378205128205,0.9905849358974359,-6.7818
0.007111378205128205,0.9908854166666666,-6.791823
0.007211538461538462,0.9908854166666666,-6.7937846
0.007211538461538462,0.9910857371794872,-6.7995524
0.007311698717948718,0.9910857371794872,-6.799659
0.007311698717948718,0.9914863782051282,-6.8094916
0.007411858974358974,0.9914863782051282,-6.814072
0.007411858974358974,0.9915865384615384,-6.817896
0.008213141025641026,0.9915865384615384,-6.8448024
0.008213141025641026,0.9916866987179487,-6.8543925
0.008613782051282052,0.9916866987179487,-6.8936753
0.008613782051282052,0.9918870192307693,-6.897497
0.00891426282051282,0.9918870192307693,-6.9161534
0.00891426282051282,0.9919871794871795,-6.922242
0.009014423076923076,0.9919871794871795,-6.9268894
0.009014423076923076,0.9923878205128205,-6.9485345
0.009114583333333334,0.9923878205128205,-6.951513
0.009114583333333334,0.9926883012820513,-6.969166
0.009415064102564102,0.9926883012820513,-6.9908895
0.009415064102564102,0.9927884615384616,-6.9932055
0.009615384615384616,0.9927884615384616,-6.9967856
0.009615384615384616,0.9928886217948718,-7.009644
0.009715544871794872,0.9928886217948718,-7.029161
0.009715544871794872,0.992988782051282,-7.0300064
0.009915865384615384,0.992988782051282,-7.0389194
0.009915865384615384,0.9931891025641025,-7.0410233
0.010116185897435898,0.9931891025641025,-7.051816
0.010116185897435898,0.9933894230769231,-7.0594063
0.010416666666666666,0.9933894230769231,-7.079085
0.010416666666666666,0.9934895833333334,-7.086429
0.01061698717948718,0.9934895833333334,-7.104387
0.01061698717948718,0.9935897435897436,-7.105017
0.011217948717948718,0.9935897435897436,-7.142136
0.011217948717948718,0.9939903846153846,-7.149153
0.011518429487179488,0.9939903846153846,-7.1624026
0.011518429487179488,0.9940905448717948,-7.1658473
0.011618589743589744,0.9940905448717948,-7.172154
0.011618589743589744,0.9941907051282052,-7.173524
0.011818910256410256,0.9941907051282052,-7.1947956
0.011818910256410256,0.9942908653846154,-7.2085767
0.011919070512820512,0.9942908653846154,-7.2174115
0.011919070512820512,0.9943910256410257,-7.2281113
0.012419871794871794,0.9943910256410257,-7.2455673
0.012419871794871794,0.9944911858974359,-7.2514977
0.013020833333333334,0.9944911858974359,-7.280202
0.013020833333333334,0.9945913461538461,-7.282277
0.013321314102564102,0.9945913461538461,-7.2982893
0.013321314102564102,0.9947916666666666,-7.302664
0.013521634615384616,0.9947916666666666,-7.312577
0.013521634615384616,0.9948918269230769,-7.315075
0.013822115384615384,0.9948918269230769,-7.3211966
0.013822115384615384,0.9949919871794872,-7.3258348
0.014022435897435898,0.9949919871794872,-7.3429728
0.014022435897435898,0.995292467948718,-7.3800597
0.014923878205128206,0.995292467948718,-7.4162207
0.014923878205128206,0.9954927884615384,-7.423214
0.015224358974358974,0.9954927884615384,-7.444255
0.015224358974358974,0.9955929487179487,-7.472811
0.015725160256410256,0.9955929487179487,-7.4921403
0.015725160256410256,0.9958934294871795,-7.5087357
0.016125801282051284,0.9958934294871795,-7.523707
0.016125801282051284,0.9959935897435898,-7.52486
0.01622596153846154,0.9959935897435898,-7.526699
0.01622596153846154,0.99609375,-7.5300884
0.016426282051282052,0.99609375,-7.5421357
0.016426282051282052,0.9961939102564102,-7.5427756
0.017127403846153848,0.9961939102564102,-7.5596833
0.017127403846153848,0.9962940705128205,-7.5599365
0.017528044871794872,0.9962940705128205,-7.591752
0.017528044871794872,0.9963942307692307,-7.595164
0.01782852564102564,0.9963942307692307,-7.622881
0.01782852564102564,0.9964943910256411,-7.6275663
0.018028846153846152,0.9964943910256411,-7.6342034
0.018028846153846152,0.9967948717948718,-7.6402297
0.018229166666666668,0.9967948717948718,-7.6463346
0.018229166666666668,0.996895032051282,-7.6470447
0.01842948717948718,0.996895032051282,-7.6596355
0.01842948717948718,0.9969951923076923,-7.660981
0.018629807692307692,0.9969951923076923,-7.6624284
0.018629807692307692,0.9970953525641025,-7.6670556
0.018830128205128204,0.9970953525641025,-7.6775923
0.018830128205128204,0.9971955128205128,-7.6843295
0.021434294871794872,0.9971955128205128,-7.789665
0.021434294871794872,0.9972956730769231,-7.790663
0.021634615384615384,0.9972956730769231,-7.7974944
0.021634615384615384,0.9974959935897436,-7.803361
0.022035256410256412,0.9974959935897436,-7.8149815
0.022035256410256412,0.9975961538461539,-7.822306
0.023337339743589744,0.9975961538461539,-7.8546705
0.023337339743589744,0.9976963141025641,-7.859506
0.0234375,0.9976963141025641,-7.860461
0.0234375,0.9977964743589743,-7.860749
0.024138621794871796,0.9977964743589743,-7.8939805
0.024138621794871796,0.9978966346153846,-7.894792
0.024739583333333332,0.9978966346153846,-7.9150424
0.024739583333333332,0.9979967948717948,-7.916143
0.02624198717948718,0.9979967948717948,-7.9605246
0.02624198717948718,0.9980969551282052,-7.9641986
0.02674278846153846,0.9980969551282052,-7.970338
0.02674278846153846,0.9981971153846154,-7.9734325
0.027243589743589744,0.9981971153846154,-7.9932632
0.027243589743589744,0.9982972756410257,-7.995849
0.028145032051282052,0.9982972756410257,-8.029528
0.028145032051282052,0.9983974358974359,-8.038131
0.028345352564102564,0.9983974358974359,-8.046077
0.028345352564102564,0.9984975961538461,-8.048109
0.030749198717948716,0.9984975961538461,-8.114167
0.030749198717948716,0.9985977564102564,-8.1149645
0.031650641025641024,0.9985977564102564,-8.13106
0.031650641025641024,0.9986979166666666,-8.140548
0.03665865384615385,0.9986979166666666,-8.277148
0.03665865384615385,0.9987980769230769,-8.278435
0.03876201923076923,0.9987980769230769,-8.331131
0.03876201923076923,0.9988982371794872,-8.333289
0.040164262820512824,0.9988982371794872,-8.371209
0.040164262820512824,0.9989983974358975,-8.372174
0.041666666666666664,0.9989983974358975,-8.408003
0.041666666666666664,0.9990985576923077,-8.408423
0.04657451923076923,0.9990985576923077,-8.513977
0.04657451923076923,0.999198717948718,-8.514074
0.050180288461538464,0.999198717948718,-8.595803
0.050180288461538464,0.9992988782051282,-8.599166
0.053786057692307696,0.9992988782051282,-8.662998
0.053786057692307696,0.9993990384615384,-8.669518
0.054587339743589744,0.9993990384615384,-8.695891
0.054587339743589744,0.9994991987179487,-8.695899
0.056991185897435896,0.9994991987179487,-8.723923
0.056991185897435896,0.9995993589743589,-8.731375
0.08343349358974358,0.9995993589743589,-9.098941
0.08343349358974358,0.9996995192307693,-9.100658
0.11678685897435898,0.9996995192307693,-9.456477
0.11678685897435898,0.9997996794871795,-9.457757
0.12970753205128205,0.9997996794871795,-9.54566
0.12970753205128205,0.9998998397435898,-9.545718
0.13842147435897437,0.9998998397435898,-9.615201
0.13842147435897437,1.0,-9.615689
0.29997996794871795,1.0,-10.576741
0.30018028846153844,1.0,-10.577285
0.30709134615384615,1.0,-10.610351
0.3072916666666667,1.0,-10.610447
0.331630608974359,1.0,-10.716419
0.33183092948717946,1.0,-10.716994
0.528145032051282,1.0,-11.547423
0.5283453525641025,1.0,-11.548658
0.6736778846153846,1.0,-12.143742
0.6738782051282052,1.0,-12.1444645
0.9573317307692307,1.0,-14.108888
0.9575320512820513,1.0,-14.109317
1.0,1.0,-16.862114
