precision,recall,threshold
0.5174317554442286,1.0,-1.7124776
0.5174846625766871,1.0,-1.71207
0.5175375805297066,1.0,-1.7111146
0.5175905093066067,1.0,-1.7090318
0.5176434489107088,1.0,-1.7086483
0.5176963993453355,1.0,-1.705311
0.5177493606138107,1.0,-1.7017812
0.5178023327194597,1.0,-1.7016779
0.5178553156656094,1.0,-1.6972356
0.5179083094555874,1.0,-1.6971235
0.5179613140927234,1.0,-1.693842
0.518014329580348,1.0,-1.691973
0.5180673559217934,1.0,-1.6913686
0.5181203931203932,1.0,-1.6911405
0.5181734411794819,1.0,-1.6901492
0.518226500102396,1.0,-1.6897856
0.5182795698924731,1.0,-1.6892507
0.518332650553052,1.0,-1.6888155
0.5183857420874731,1.0,-1.6877785
0.5184388444990781,1.0,-1.6876465
0.5184919577912099,1.0,-1.6869876
0.5185450819672132,1.0,-1.6860441
0.5185982170304334,1.0,-1.6853654
0.5186513629842181,1.0,-1.6852986
0.5187045198319156,1.0,-1.6852567
0.5187576875768758,1.0,-1.68518
0.51881086622245,1.0,-1.6849288
0.518864055771991,1.0,-1.6846585
0.5189172562288527,1.0,-1.684238
0.5189704675963905,1.0,-1.6840788
0.5190236898779612,1.0,-1.6836112
0.5190769230769231,1.0,-1.6833357
0.5191301671966355,1.0,-1.6832234
0.5191834222404595,1.0,-1.683124
0.5192366882117575,1.0,-1.6823364
0.5192899651138929,1.0,-1.6822829
0.5193432529502309,1.0,-1.6820285
0.5193965517241379,1.0,-1.6817619
0.5194498614389819,1.0,-1.6811272
0.5195031820981318,1.0,-1.6806537
0.5195565137049585,1.0,-1.6806276
0.5196098562628336,1.0,-1.6798873
0.5196632097751309,1.0,-1.6798437
0.5197165742452249,1.0,-1.6798155
0.5197699496764917,1.0,-1.6797754
0.5198233360723089,1.0,-1.6797434
0.5198767334360554,1.0,-1.6794055
0.5199301417711115,1.0,-1.6791459
0.519983561080859,1.0,-1.6790546
0.5200369913686806,1.0,-1.6786677
0.5200904326379612,1.0,-1.6785479
0.5201438848920863,1.0,-1.6783438
0.5201973481344434,1.0,-1.6782032
0.520250822368421,1.0,-1.678061
0.5203043075974093,1.0,-1.6779555
0.5203578038247995,1.0,-1.6777146
0.5204113110539845,1.0,-1.6777034
0.5204648292883587,1.0,-1.6774517
0.5205183585313174,1.0,-1.6774262
0.520571898786258,1.0,-1.6767782
0.5206254500565786,1.0,-1.6765745
0.520679012345679,1.0,-1.6762918
0.5207325856569606,1.0,-1.6762139
0.5207861699938259,1.0,-1.6758883
0.5208397653596789,1.0,-1.675616
0.520893371757925,1.0,-1.6753007
0.5209469891919711,1.0,-1.675239
0.5210006176652254,1.0,-1.6752305
0.5210542571810975,1.0,-1.675215
0.5211079077429983,1.0,-1.6751746
0.5211615693543404,1.0,-1.6750557
0.5212152420185376,1.0,-1.6748511
0.5212689257390051,1.0,-1.6748292
0.5213226205191595,1.0,-1.6746815
0.5213763263624188,1.0,-1.6746367
0.5214300432722028,1.0,-1.6743561
0.521483771251932,1.0,-1.6741109
0.5215375103050288,1.0,-1.6739833
0.521591260434917,1.0,-1.6739289
0.5216450216450217,1.0,-1.673685
0.5216987939387692,1.0,-1.6736168
0.5217525773195876,1.0,-1.6735317
0.5218063717909063,1.0,-1.6731434
0.5218601773561559,1.0,-1.673092
0.5219139940187687,1.0,-1.6729156
0.5219678217821783,1.0,-1.6728487
0.5220216606498195,1.0,-1.6727604
0.5220755106251289,1.0,-1.6722811
0.5221293717115444,1.0,-1.6721467
0.5221832439125051,1.0,-1.6718787
0.5222371272314519,1.0,-1.6708317
0.5222910216718266,1.0,-1.6706371
0.5223449272370729,1.0,-1.6696215
0.5223988439306358,1.0,-1.6695166
0.5224527717559616,1.0,-1.6687076
0.522506710716498,1.0,-1.668559
0.5225606608156944,1.0,-1.6675115
0.5226146220570013,1.0,-1.6673654
0.5226685944438707,1.0,-1.6672409
0.5227225779797563,1.0,-1.6656096
0.5227765726681128,1.0,-1.6655364
0.5228305785123967,1.0,-1.6651106
0.5228845955160657,1.0,-1.6649812
0.522938623682579,1.0,-1.6646405
0.5229926630153974,1.0,-1.6640915
0.5230467135179826,1.0,-1.6571419
0.5231007751937985,1.0,-1.6555756
0.5231548480463097,1.0,-1.6549207
0.5232089320789828,1.0,-1.6541926
0.5232630272952854,1.0,-1.6538517
0.5233171336986868,1.0,-1.6532859
